0 6
1 7
6 10
9 10
9 15
1 16
10 16
5 18
8 19
12 19
13 19
2 20
3 20
19 20
8 21
7 22
12 23
12 24
8 27
25 27
15 32
13 34
16 34
11 35
22 35
6 36
18 36
25 36
26 36
0 38
36 38
7 39
14 39
38 39
39 41
23 42
36 42
26 43
41 43
11 44
16 44
32 44
33 44
43 44
8 45
32 45
43 45
1 46
37 46
41 46
44 46
12 47
30 47
11 48
13 48
6 49
10 49
18 49
19 50
26 50
1 51
7 51
38 51
1 52
20 52
43 52
26 53
32 53
50 53
3 54
26 55
45 55
47 56
50 56
1 57
40 57
3 58
18 58
0 59
28 59
30 59
35 59
17 60
23 60
26 60
40 60
58 60
43 61
37 62
44 62
51 62
0 63
54 63
18 64
23 64
41 64
52 65
16 66
53 66
2 67
47 67
49 67
60 67
5 68
42 68
64 68
66 68
2 69
3 69
50 69
51 69
57 69
59 69
19 70
38 70
65 70
14 71
17 71
51 71
55 71
41 72
57 72
0 73
14 73
23 73
29 73
32 73
48 73
50 73
2 74
50 74
65 74
37 75
0 76
3 76
46 76
70 76
4 77
29 77
37 77
45 77
49 77
69 77
74 77
4 78
10 78
31 78
58 78
13 80
18 80
37 80
39 80
40 80
20 81
27 81
30 81
48 81
49 81
16 82
53 82
55 82
58 82
77 82
22 83
35 83
67 83
72 83
76 83
82 83
5 84
8 84
16 84
59 84
60 84
72 84
29 85
61 85
79 85
34 86
45 86
54 86
79 86
82 86
0 87
14 87
29 87
51 87
65 87
3 88
10 88
21 88
25 88
34 88
63 88
5 89
25 89
28 89
37 89
44 89
54 89
56 89
57 89
11 90
35 90
53 90
69 90
86 90
20 91
23 91
24 91
68 91
10 92
21 92
27 92
34 92
37 92
39 92
47 92
11 93
16 93
62 93
71 93
77 93
82 93
84 93
20 94
53 94
56 94
62 94
17 95
72 95
74 95
75 95
78 95
88 95
17 96
24 96
41 96
50 96
77 96
89 96
9 97
40 97
55 97
3 98
5 98
7 98
67 98
70 98
71 98
55 99
61 99
83 99
96 99
